You are my peace, eat well 🍽️, in every heartbeat
My heart belongs to you, eat well 🍽️, always and forever
I’m always with you in thoughts, be happy 😊, every single moment
I’m always with you in thoughts, don’t overthink 🫶, always and forever
I miss you more than words can say, stay safe 💕, no matter how far we are
You are my peace, remember I’m yours 💖, in every heartbeat
I miss you more than words can say, sleep peacefully 🌙, until we meet again
I miss you more than words can say, stay strong 💪, until we meet again
I’m always with you in thoughts, smile today ❤️, always and forever
My heart belongs to you, don’t overthink 🫶, always and forever
I’m proud of you, take care of yourself 😌, in silence
I love you more every single day, eat well 🍽️, in silence
I’m always with you in thoughts, sleep peacefully 🌙, in every heartbeat
You are my safe place, stay strong 💪, no matter how far we are
My heart belongs to you, take care of yourself 😌, no matter how far we are
You are my favourite person, take care of yourself 😌, in every breath
I love you more every single day, keep going 🌟, in my thoughts
You are my favourite person, keep going 🌟, in silence
You are my safe place, smile today ❤️, even from distance
You are my happiness, remember I’m yours 💖, in every breath
You are my happiness, take care of yourself 😌, in every heartbeat
You are my safe place, stay safe 💕, even from distance
You are my favourite person, remember I’m yours 💖, always and forever
My heart belongs to you, be happy 😊, through every day
You are my world, don’t overthink 🫶, until we meet again
I love you more every single day, be happy 😊, until we meet again
You are my favourite person, keep going 🌟, in every breath
You are my peace, smile today ❤️, in silence
My heart belongs to you, take care of yourself 😌, in my thoughts
You are my world, stay strong 💪, even from distance
I’m proud of you, stay safe 💕, always and forever
I’m always with you in thoughts, don’t overthink 🫶, in every breath
My heart belongs to you, eat well 🍽️, in every breath
You are my safe place, stay safe 💕, always and forever
You are my safe place, take care of yourself 😌, every single moment
I’m always with you in thoughts, take care of yourself 😌, every single moment
I miss you more than words can say, eat well 🍽️, in my thoughts
You are my happiness, stay strong 💪, in silence
I love you more every single day, stay safe 💕, in every heartbeat
I miss you more than words can say, be happy 😊, always and forever
I’m proud of you, take care of yourself 😌, until we meet again
You are my happiness, keep going 🌟, in my thoughts
I miss you more than words can say, be happy 😊, even from distance
You are my favourite person, be happy 😊, every single moment
You are my peace, be happy 😊, always and forever
I’m proud of you, stay strong 💪, even from distance
My heart belongs to you, keep going 🌟, always and forever
You are my safe place, sleep peacefully 🌙, in my thoughts
My heart belongs to you, sleep peacefully 🌙, in silence
I’m proud of you, keep going 🌟, no matter how far we are
I miss you more than words can say, don’t overthink 🫶, always and forever
I’m always with you in thoughts, sleep peacefully 🌙, always and forever
I’m proud of you, smile today ❤️, in my thoughts
I’m always with you in thoughts, smile today ❤️, through every day
You are my peace, take care of yourself 😌, every single moment
I love you more every single day, stay safe 💕, even from distance
I’m always with you in thoughts, remember I’m yours 💖, in every heartbeat
I’m always with you in thoughts, sleep peacefully 🌙, no matter how far we are
You are my safe place, take care of yourself 😌, even from distance
I’m proud of you, be happy 😊, in every breath
You are my world, stay strong 💪, in every breath
I’m proud of you, smile today ❤️, even from distance
I miss you more than words can say, remember I’m yours 💖, every single moment
My heart belongs to you, remember I’m yours 💖, in every heartbeat
You are my world, smile today ❤️, always and forever
I’m always with you in thoughts, don’t overthink 🫶, no matter how far we are
You are my peace, stay safe 💕, even from distance
My heart belongs to you, be happy 😊, in every heartbeat
You are my favourite person, stay safe 💕, every single moment
I love you more every single day, sleep peacefully 🌙, every single moment
You are my happiness, stay strong 💪, even from distance
My heart belongs to you, sleep peacefully 🌙, in silence
You are my happiness, stay strong 💪, in my thoughts
You are my happiness, eat well 🍽️, always and forever
You are my safe place, remember I’m yours 💖, no matter how far we are
I love you more every single day, sleep peacefully 🌙, in silence
I love you more every single day, sleep peacefully 🌙, in my thoughts
You are my peace, be happy 😊, in silence
You are my safe place, sleep peacefully 🌙, always and forever
I’m proud of you, sleep peacefully 🌙, in my thoughts
You are my safe place, take care of yourself 😌, always and forever
I’m proud of you, take care of yourself 😌, in every heartbeat
I’m always with you in thoughts, take care of yourself 😌, in every breath
I’m proud of you, sleep peacefully 🌙, in my thoughts
You are my favourite person, smile today ❤️, in every breath
I’m always with you in thoughts, sleep peacefully 🌙, until we meet again
I love you more every single day, don’t overthink 🫶, in every heartbeat
You are my happiness, keep going 🌟, no matter how far we are
You are my happiness, be happy 😊, until we meet again
I’m always with you in thoughts, be happy 😊, until we meet again
I miss you more than words can say, smile today ❤️, in every breath
I miss you more than words can say, eat well 🍽️, through every day
My heart belongs to you, take care of yourself 😌, in silence
I’m always with you in thoughts, smile today ❤️, in every heartbeat
You are my world, keep going 🌟, in every heartbeat
I’m always with you in thoughts, eat well 🍽️, through every day
I’m proud of you, sleep peacefully 🌙, in every breath
You are my happiness, stay strong 💪, in every heartbeat
I’m always with you in thoughts, take care of yourself 😌, every single moment
I love you more every single day, keep going 🌟, through every day
You are my peace, eat well 🍽️, in every heartbeat
You are my world, sleep peacefully 🌙, in my thoughts
I’m proud of you, eat well 🍽️, until we meet again
I love you more every single day, don’t overthink 🫶, in every heartbeat
I love you more every single day, sleep peacefully 🌙, through every day
You are my safe place, sleep peacefully 🌙, no matter how far we are
I love you more every single day, take care of yourself 😌, in every heartbeat
I’m proud of you, sleep peacefully 🌙, in silence
My heart belongs to you, don’t overthink 🫶, in every heartbeat
I’m proud of you, don’t overthink 🫶, through every day
You are my world, smile today ❤️, in every heartbeat
You are my favourite person, stay strong 💪, always and forever
You are my happiness, sleep peacefully 🌙, through every day
I’m always with you in thoughts, eat well 🍽️, even from distance
You are my safe place, sleep peacefully 🌙, through every day
You are my happiness, remember I’m yours 💖, every single moment
I love you more every single day, stay strong 💪, always and forever
You are my favourite person, don’t overthink 🫶, in silence
My heart belongs to you, don’t overthink 🫶, even from distance
You are my happiness, take care of yourself 😌, until we meet again
You are my peace, remember I’m yours 💖, in silence
I’m proud of you, be happy 😊, in silence
My heart belongs to you, stay strong 💪, always and forever
You are my happiness, stay safe 💕, every single moment
I miss you more than words can say, take care of yourself 😌, in every breath
You are my safe place, take care of yourself 😌, in silence
I miss you more than words can say, stay safe 💕, in my thoughts
My heart belongs to you, keep going 🌟, in every breath
You are my world, smile today ❤️, in my thoughts
You are my world, stay safe 💕, every single moment
You are my peace, remember I’m yours 💖, even from distance
I’m proud of you, stay strong 💪, always and forever
My heart belongs to you, be happy 😊, always and forever
I love you more every single day, don’t overthink 🫶, in silence
You are my peace, don’t overthink 🫶, no matter how far we are
I’m always with you in thoughts, keep going 🌟, until we meet again
I love you more every single day, stay safe 💕, in every heartbeat
You are my safe place, don’t overthink 🫶, in silence
You are my peace, be happy 😊, until we meet again
You are my peace, smile today ❤️, through every day
You are my world, smile today ❤️, in silence
My heart belongs to you, eat well 🍽️, even from distance
I miss you more than words can say, take care of yourself 😌, even from distance
My heart belongs to you, be happy 😊, in my thoughts
I miss you more than words can say, be happy 😊, in every heartbeat
You are my peace, don’t overthink 🫶, in every heartbeat
You are my safe place, eat well 🍽️, no matter how far we are
I’m always with you in thoughts, smile today ❤️, in silence
I’m proud of you, stay strong 💪, in my thoughts
You are my favourite person, keep going 🌟, in every heartbeat
I’m always with you in thoughts, stay strong 💪, no matter how far we are
You are my safe place, stay safe 💕, through every day
You are my favourite person, stay strong 💪, in every heartbeat
I’m always with you in thoughts, don’t overthink 🫶, always and forever
You are my world, smile today ❤️, through every day
You are my favourite person, smile today ❤️, always and forever
I’m proud of you, keep going 🌟, no matter how far we are
I love you more every single day, stay strong 💪, in every breath
I’m always with you in thoughts, smile today ❤️, even from distance
I’m always with you in thoughts, stay strong 💪, through every day
I’m proud of you, sleep peacefully 🌙, always and forever
You are my happiness, eat well 🍽️, in every breath
You are my safe place, be happy 😊, in every heartbeat
I miss you more than words can say, smile today ❤️, in silence
My heart belongs to you, be happy 😊, through every day
You are my world, stay safe 💕, through every day
I’m always with you in thoughts, sleep peacefully 🌙, in every heartbeat
I miss you more than words can say, smile today ❤️, in my thoughts
You are my happiness, remember I’m yours 💖, in every heartbeat
You are my favourite person, take care of yourself 😌, even from distance
You are my peace, don’t overthink 🫶, even from distance
My heart belongs to you, eat well 🍽️, in every heartbeat
You are my peace, smile today ❤️, until we meet again
My heart belongs to you, remember I’m yours 💖, in my thoughts
My heart belongs to you, remember I’m yours 💖, in my thoughts
I’m proud of you, stay strong 💪, no matter how far we are
My heart belongs to you, stay safe 💕, in every heartbeat
You are my favourite person, remember I’m yours 💖, in my thoughts
I’m proud of you, keep going 🌟, through every day
I’m proud of you, smile today ❤️, even from distance
You are my world, be happy 😊, always and forever
I’m always with you in thoughts, take care of yourself 😌, in every heartbeat
My heart belongs to you, eat well 🍽️, through every day
You are my happiness, don’t overthink 🫶, in every heartbeat
My heart belongs to you, smile today ❤️, always and forever
I miss you more than words can say, keep going 🌟, in my thoughts
I’m always with you in thoughts, don’t overthink 🫶, in every heartbeat
You are my happiness, stay safe 💕, every single moment
I love you more every single day, remember I’m yours 💖, through every day
I’m always with you in thoughts, be happy 😊, even from distance
I miss you more than words can say, don’t overthink 🫶, no matter how far we are
You are my favourite person, take care of yourself 😌, in every heartbeat
You are my happiness, keep going 🌟, in silence
You are my safe place, don’t overthink 🫶, every single moment
You are my safe place, stay strong 💪, every single moment
I love you more every single day, take care of yourself 😌, in every heartbeat
You are my happiness, keep going 🌟, in every breath
You are my safe place, eat well 🍽️, in silence
I miss you more than words can say, keep going 🌟, in every heartbeat
You are my favourite person, keep going 🌟, in every heartbeat
You are my happiness, take care of yourself 😌, in every heartbeat
My heart belongs to you, smile today ❤️, until we meet again
You are my world, don’t overthink 🫶, even from distance
You are my world, smile today ❤️, in every heartbeat
You are my peace, stay safe 💕, in every breath
I’m always with you in thoughts, take care of yourself 😌, in silence
My heart belongs to you, don’t overthink 🫶, in silence
My heart belongs to you, be happy 😊, every single moment
You are my favourite person, smile today ❤️, every single moment
I’m always with you in thoughts, sleep peacefully 🌙, through every day
You are my world, eat well 🍽️, through every day
You are my favourite person, sleep peacefully 🌙, in every breath
I miss you more than words can say, eat well 🍽️, in silence
You are my happiness, stay strong 💪, until we meet again
I’m proud of you, be happy 😊, in silence
I’m proud of you, be happy 😊, even from distance
You are my world, take care of yourself 😌, every single moment
I’m always with you in thoughts, take care of yourself 😌, no matter how far we are
I’m proud of you, stay strong 💪, through every day
I love you more every single day, keep going 🌟, even from distance
I’m always with you in thoughts, eat well 🍽️, in my thoughts
I miss you more than words can say, stay safe 💕, always and forever
You are my safe place, don’t overthink 🫶, in silence
I love you more every single day, be happy 😊, in every heartbeat
I’m proud of you, keep going 🌟, no matter how far we are
You are my safe place, remember I’m yours 💖, even from distance
My heart belongs to you, remember I’m yours 💖, in silence
You are my happiness, be happy 😊, in silence
You are my world, take care of yourself 😌, in silence
You are my favourite person, be happy 😊, in my thoughts
You are my peace, smile today ❤️, no matter how far we are
I’m proud of you, stay strong 💪, until we meet again
You are my safe place, stay strong 💪, through every day
I love you more every single day, keep going 🌟, through every day
I’m always with you in thoughts, eat well 🍽️, even from distance
You are my favourite person, remember I’m yours 💖, until we meet again
My heart belongs to you, stay strong 💪, through every day
I love you more every single day, be happy 😊, even from distance
I miss you more than words can say, take care of yourself 😌, every single moment
You are my world, don’t overthink 🫶, in silence
You are my world, sleep peacefully 🌙, always and forever
I miss you more than words can say, don’t overthink 🫶, even from distance
You are my peace, stay strong 💪, no matter how far we are
My heart belongs to you, be happy 😊, always and forever
I’m proud of you, sleep peacefully 🌙, in every breath
You are my safe place, take care of yourself 😌, even from distance
I love you more every single day, sleep peacefully 🌙, in every heartbeat
You are my safe place, smile today ❤️, in every breath
My heart belongs to you, sleep peacefully 🌙, in my thoughts
You are my safe place, stay safe 💕, until we meet again
You are my favourite person, stay safe 💕, in every breath
You are my favourite person, be happy 😊, always and forever
I love you more every single day, take care of yourself 😌, even from distance
You are my peace, don’t overthink 🫶, until we meet again
I’m always with you in thoughts, sleep peacefully 🌙, no matter how far we are
You are my safe place, be happy 😊, every single moment
I love you more every single day, smile today ❤️, in my thoughts
I love you more every single day, eat well 🍽️, even from distance
You are my happiness, take care of yourself 😌, in my thoughts
You are my happiness, take care of yourself 😌, in my thoughts
I love you more every single day, smile today ❤️, no matter how far we are
You are my happiness, eat well 🍽️, in every heartbeat
I love you more every single day, don’t overthink 🫶, in every breath
You are my safe place, eat well 🍽️, through every day
I’m proud of you, stay safe 💕, always and forever
I love you more every single day, stay safe 💕, in every heartbeat
I’m proud of you, sleep peacefully 🌙, no matter how far we are
My heart belongs to you, be happy 😊, in every heartbeat
You are my happiness, eat well 🍽️, in my thoughts
I’m proud of you, don’t overthink 🫶, always and forever
I’m proud of you, smile today ❤️, even from distance
My heart belongs to you, take care of yourself 😌, always and forever
You are my world, sleep peacefully 🌙, always and forever
You are my safe place, take care of yourself 😌, every single moment
My heart belongs to you, keep going 🌟, until we meet again
You are my peace, don’t overthink 🫶, in silence
You are my world, stay safe 💕, until we meet again
You are my world, eat well 🍽️, in every breath
You are my happiness, sleep peacefully 🌙, even from distance
You are my peace, stay safe 💕, even from distance
My heart belongs to you, be happy 😊, in silence
You are my safe place, take care of yourself 😌, even from distance
I miss you more than words can say, stay safe 💕, always and forever
I’m proud of you, keep going 🌟, through every day
I miss you more than words can say, keep going 🌟, even from distance
You are my safe place, don’t overthink 🫶, even from distance
I’m proud of you, take care of yourself 😌, no matter how far we are
I miss you more than words can say, remember I’m yours 💖, in silence
I miss you more than words can say, take care of yourself 😌, in my thoughts
You are my happiness, take care of yourself 😌, in silence
I’m always with you in thoughts, keep going 🌟, every single moment
You are my peace, eat well 🍽️, even from distance
You are my happiness, don’t overthink 🫶, in every heartbeat
I love you more every single day, remember I’m yours 💖, in every breath
You are my safe place, stay strong 💪, no matter how far we are
You are my happiness, be happy 😊, every single moment
You are my safe place, smile today ❤️, even from distance
I love you more every single day, keep going 🌟, even from distance
You are my safe place, eat well 🍽️, no matter how far we are
You are my world, be happy 😊, until we meet again
You are my safe place, stay safe 💕, in my thoughts
You are my world, take care of yourself 😌, in every breath
My heart belongs to you, eat well 🍽️, in every breath
You are my world, stay safe 💕, in silence
You are my favourite person, stay strong 💪, in every breath
I miss you more than words can say, sleep peacefully 🌙, in silence
You are my world, eat well 🍽️, until we meet again
You are my world, sleep peacefully 🌙, always and forever
My heart belongs to you, be happy 😊, no matter how far we are
You are my peace, remember I’m yours 💖, no matter how far we are
You are my peace, sleep peacefully 🌙, no matter how far we are
You are my world, be happy 😊, in every heartbeat
I’m always with you in thoughts, take care of yourself 😌, through every day
I’m proud of you, stay safe 💕, in silence
You are my safe place, don’t overthink 🫶, in my thoughts
I miss you more than words can say, stay safe 💕, in my thoughts
You are my favourite person, stay safe 💕, through every day
I miss you more than words can say, be happy 😊, through every day
You are my world, remember I’m yours 💖, in every breath
I’m proud of you, keep going 🌟, in silence
You are my peace, remember I’m yours 💖, in every heartbeat
I’m proud of you, stay safe 💕, even from distance
You are my world, be happy 😊, in silence
I love you more every single day, smile today ❤️, every single moment
You are my world, stay safe 💕, every single moment
I love you more every single day, stay safe 💕, in my thoughts
You are my safe place, be happy 😊, even from distance
I love you more every single day, eat well 🍽️, through every day
I love you more every single day, sleep peacefully 🌙, in every heartbeat
My heart belongs to you, take care of yourself 😌, no matter how far we are
You are my safe place, remember I’m yours 💖, no matter how far we are
I love you more every single day, smile today ❤️, always and forever
You are my safe place, smile today ❤️, through every day
You are my safe place, eat well 🍽️, in every heartbeat
You are my favourite person, stay safe 💕, in every heartbeat
I’m proud of you, remember I’m yours 💖, even from distance
You are my happiness, be happy 😊, every single moment
You are my peace, eat well 🍽️, in every breath
You are my safe place, stay strong 💪, no matter how far we are
You are my happiness, stay strong 💪, no matter how far we are
You are my safe place, be happy 😊, until we meet again
My heart belongs to you, take care of yourself 😌, in silence
I miss you more than words can say, sleep peacefully 🌙, in my thoughts
You are my world, stay safe 💕, through every day
You are my world, stay safe 💕, in every breath
I love you more every single day, keep going 🌟, through every day
You are my happiness, don’t overthink 🫶, always and forever
I’m always with you in thoughts, eat well 🍽️, until we meet again
I’m always with you in thoughts, remember I’m yours 💖, even from distance
I miss you more than words can say, stay safe 💕, no matter how far we are
I’m proud of you, remember I’m yours 💖, in my thoughts
You are my peace, stay safe 💕, even from distance
I’m always with you in thoughts, don’t overthink 🫶, until we meet again
I love you more every single day, sleep peacefully 🌙, no matter how far we are
You are my favourite person, don’t overthink 🫶, every single moment
My heart belongs to you, stay safe 💕, in silence
I’m always with you in thoughts, eat well 🍽️, in my thoughts
I’m proud of you, don’t overthink 🫶, in every breath
I miss you more than words can say, take care of yourself 😌, every single moment
You are my peace, stay strong 💪, until we meet again
I love you more every single day, remember I’m yours 💖, every single moment
You are my peace, be happy 😊, in every heartbeat
You are my peace, stay strong 💪, always and forever
You are my peace, sleep peacefully 🌙, until we meet again
You are my safe place, don’t overthink 🫶, always and forever
You are my happiness, smile today ❤️, in every heartbeat
I love you more every single day, eat well 🍽️, in silence
I’m always with you in thoughts, smile today ❤️, even from distance
My heart belongs to you, be happy 😊, always and forever
You are my peace, keep going 🌟, even from distance
My heart belongs to you, stay strong 💪, even from distance
I miss you more than words can say, stay safe 💕, no matter how far we are
I miss you more than words can say, eat well 🍽️, in silence
You are my safe place, smile today ❤️, in every heartbeat
I miss you more than words can say, be happy 😊, in silence
You are my world, smile today ❤️, in every breath
You are my happiness, sleep peacefully 🌙, always and forever
I’m proud of you, keep going 🌟, until we meet again
You are my safe place, sleep peacefully 🌙, until we meet again
You are my favourite person, keep going 🌟, in my thoughts
I love you more every single day, take care of yourself 😌, until we meet again
My heart belongs to you, keep going 🌟, always and forever
I’m always with you in thoughts, stay safe 💕, no matter how far we are
I miss you more than words can say, eat well 🍽️, always and forever
I love you more every single day, eat well 🍽️, in every heartbeat
I love you more every single day, remember I’m yours 💖, through every day
I’m proud of you, remember I’m yours 💖, always and forever
I’m proud of you, take care of yourself 😌, every single moment
You are my favourite person, eat well 🍽️, every single moment
You are my world, keep going 🌟, even from distance
I’m proud of you, don’t overthink 🫶, through every day
You are my world, stay strong 💪, every single moment
You are my happiness, be happy 😊, until we meet again
I’m always with you in thoughts, keep going 🌟, always and forever
I’m proud of you, keep going 🌟, even from distance
You are my peace, eat well 🍽️, always and forever
You are my peace, stay strong 💪, even from distance
I’m proud of you, sleep peacefully 🌙, in every heartbeat
I miss you more than words can say, eat well 🍽️, in my thoughts
I love you more every single day, be happy 😊, in every heartbeat
I’m proud of you, remember I’m yours 💖, in every heartbeat
I love you more every single day, eat well 🍽️, every single moment
I’m proud of you, remember I’m yours 💖, every single moment
You are my safe place, stay safe 💕, in every breath
You are my happiness, stay strong 💪, in silence
I love you more every single day, eat well 🍽️, in my thoughts
I’m always with you in thoughts, take care of yourself 😌, every single moment
You are my world, sleep peacefully 🌙, always and forever
You are my happiness, sleep peacefully 🌙, in every breath
I love you more every single day, stay safe 💕, in every breath
You are my peace, stay strong 💪, in silence
You are my safe place, stay safe 💕, always and forever
You are my world, stay safe 💕, in every breath
I’m always with you in thoughts, don’t overthink 🫶, in every breath
I’m proud of you, stay safe 💕, in my thoughts
You are my favourite person, smile today ❤️, no matter how far we are
You are my happiness, keep going 🌟, no matter how far we are
My heart belongs to you, stay strong 💪, no matter how far we are
You are my safe place, take care of yourself 😌, in every breath
You are my favourite person, smile today ❤️, until we meet again
My heart belongs to you, stay strong 💪, no matter how far we are
You are my world, remember I’m yours 💖, through every day
I’m proud of you, remember I’m yours 💖, in every breath
You are my world, remember I’m yours 💖, through every day
You are my peace, don’t overthink 🫶, in every heartbeat
My heart belongs to you, smile today ❤️, always and forever
I’m proud of you, smile today ❤️, in my thoughts
You are my favourite person, take care of yourself 😌, always and forever
My heart belongs to you, be happy 😊, in every breath
You are my peace, eat well 🍽️, always and forever
You are my favourite person, don’t overthink 🫶, in silence
You are my happiness, eat well 🍽️, in my thoughts
I’m proud of you, eat well 🍽️, always and forever
I miss you more than words can say, remember I’m yours 💖, in every breath
You are my happiness, stay strong 💪, in every heartbeat
I love you more every single day, don’t overthink 🫶, no matter how far we are
I love you more every single day, take care of yourself 😌, in silence
My heart belongs to you, be happy 😊, always and forever
You are my peace, keep going 🌟, always and forever
You are my peace, be happy 😊, even from distance
You are my world, stay safe 💕, every single moment
You are my world, smile today ❤️, until we meet again
I miss you more than words can say, smile today ❤️, even from distance
You are my happiness, don’t overthink 🫶, in every breath
You are my world, keep going 🌟, through every day
I love you more every single day, be happy 😊, even from distance
I miss you more than words can say, smile today ❤️, in every breath
My heart belongs to you, stay safe 💕, even from distance
I’m always with you in thoughts, remember I’m yours 💖, in my thoughts
You are my favourite person, smile today ❤️, no matter how far we are
You are my happiness, remember I’m yours 💖, in every heartbeat
You are my peace, eat well 🍽️, in silence
You are my peace, smile today ❤️, always and forever
You are my peace, don’t overthink 🫶, every single moment
I love you more every single day, sleep peacefully 🌙, through every day
You are my happiness, stay strong 💪, in my thoughts
I’m proud of you, stay strong 💪, no matter how far we are
I love you more every single day, remember I’m yours 💖, in every heartbeat
You are my peace, smile today ❤️, in every breath
I miss you more than words can say, be happy 😊, in every breath
You are my world, eat well 🍽️, no matter how far we are
You are my favourite person, take care of yourself 😌, in silence
You are my peace, eat well 🍽️, even from distance
You are my peace, smile today ❤️, even from distance
You are my favourite person, eat well 🍽️, every single moment
You are my happiness, be happy 😊, no matter how far we are
I love you more every single day, don’t overthink 🫶, in every heartbeat
You are my world, eat well 🍽️, in silence
I’m proud of you, be happy 😊, even from distance
My heart belongs to you, eat well 🍽️, no matter how far we are
You are my world, sleep peacefully 🌙, until we meet again
My heart belongs to you, smile today ❤️, in silence
I love you more every single day, stay strong 💪, no matter how far we are
I miss you more than words can say, sleep peacefully 🌙, even from distance
My heart belongs to you, remember I’m yours 💖, no matter how far we are
My heart belongs to you, keep going 🌟, through every day
You are my safe place, keep going 🌟, no matter how far we are
You are my favourite person, remember I’m yours 💖, through every day
I miss you more than words can say, be happy 😊, in my thoughts
I miss you more than words can say, stay safe 💕, every single moment
You are my peace, eat well 🍽️, in every heartbeat
I miss you more than words can say, stay safe 💕, every single moment
You are my safe place, remember I’m yours 💖, until we meet again
You are my happiness, be happy 😊, always and forever
My heart belongs to you, stay safe 💕, every single moment
I’m proud of you, don’t overthink 🫶, through every day
You are my happiness, eat well 🍽️, until we meet again
I’m always with you in thoughts, don’t overthink 🫶, every single moment
You are my safe place, remember I’m yours 💖, always and forever
My heart belongs to you, eat well 🍽️, through every day
I’m always with you in thoughts, stay safe 💕, even from distance
You are my peace, take care of yourself 😌, every single moment
You are my favourite person, eat well 🍽️, even from distance
You are my safe place, remember I’m yours 💖, through every day
You are my happiness, stay safe 💕, in every breath
I’m proud of you, sleep peacefully 🌙, in every breath
You are my favourite person, sleep peacefully 🌙, through every day
I’m always with you in thoughts, be happy 😊, always and forever
You are my peace, remember I’m yours 💖, in every breath
You are my peace, stay strong 💪, in silence
You are my peace, remember I’m yours 💖, in my thoughts
I miss you more than words can say, eat well 🍽️, always and forever
You are my favourite person, stay strong 💪, through every day
You are my favourite person, stay safe 💕, even from distance
You are my happiness, stay safe 💕, in every breath
You are my safe place, keep going 🌟, in every breath
I love you more every single day, stay safe 💕, always and forever
You are my world, don’t overthink 🫶, every single moment
You are my happiness, stay strong 💪, in silence
You are my favourite person, eat well 🍽️, in silence
You are my world, take care of yourself 😌, in every heartbeat
You are my safe place, be happy 😊, through every day
You are my world, be happy 😊, every single moment
You are my happiness, stay safe 💕, every single moment
You are my safe place, smile today ❤️, until we meet again
You are my happiness, be happy 😊, in every breath
You are my peace, keep going 🌟, every single moment
You are my safe place, smile today ❤️, in silence
You are my world, be happy 😊, always and forever
You are my world, be happy 😊, in my thoughts
I’m proud of you, stay safe 💕, in every heartbeat
You are my world, stay strong 💪, through every day
You are my peace, take care of yourself 😌, in every breath
You are my safe place, stay strong 💪, always and forever
You are my happiness, remember I’m yours 💖, in my thoughts
You are my favourite person, stay safe 💕, even from distance
My heart belongs to you, don’t overthink 🫶, in every heartbeat
I love you more every single day, smile today ❤️, in every heartbeat
You are my happiness, eat well 🍽️, in my thoughts
You are my happiness, stay safe 💕, always and forever
You are my favourite person, remember I’m yours 💖, no matter how far we are
You are my favourite person, be happy 😊, in silence
You are my happiness, keep going 🌟, in every heartbeat
I’m always with you in thoughts, take care of yourself 😌, always and forever
You are my world, eat well 🍽️, until we meet again
I’m proud of you, smile today ❤️, every single moment
I’m always with you in thoughts, take care of yourself 😌, every single moment
I’m proud of you, sleep peacefully 🌙, every single moment
I miss you more than words can say, stay safe 💕, in silence
I’m proud of you, stay strong 💪, in silence
I’m always with you in thoughts, stay safe 💕, in silence
I love you more every single day, keep going 🌟, always and forever
I love you more every single day, stay strong 💪, no matter how far we are
I’m always with you in thoughts, smile today ❤️, even from distance
You are my peace, stay strong 💪, through every day
You are my world, remember I’m yours 💖, in silence
You are my favourite person, eat well 🍽️, in every breath
I’m always with you in thoughts, keep going 🌟, no matter how far we are
You are my safe place, remember I’m yours 💖, in my thoughts
You are my happiness, remember I’m yours 💖, every single moment
You are my happiness, don’t overthink 🫶, in silence
I’m proud of you, keep going 🌟, no matter how far we are
You are my peace, take care of yourself 😌, always and forever
You are my safe place, don’t overthink 🫶, until we meet again
I’m proud of you, be happy 😊, even from distance
You are my happiness, stay safe 💕, in silence
My heart belongs to you, don’t overthink 🫶, always and forever
You are my world, be happy 😊, even from distance
You are my world, stay safe 💕, every single moment
You are my safe place, keep going 🌟, every single moment
You are my safe place, sleep peacefully 🌙, in every heartbeat
I miss you more than words can say, sleep peacefully 🌙, in every breath
My heart belongs to you, be happy 😊, no matter how far we are
I’m proud of you, take care of yourself 😌, in every breath
I’m proud of you, remember I’m yours 💖, in every breath
I’m proud of you, stay safe 💕, in every breath
You are my favourite person, stay safe 💕, every single moment
I’m always with you in thoughts, take care of yourself 😌, every single moment
